IDNRK,LIFNR,ORT01
K101846,Sold To 생성 0523_1_2,경기도 성남시
K104133,[Mga] Georgia Steering Plant,Georgia
K100200,Hyundai Motor Ulsan 1St Plant,울산광역시
K100204,Precision Pressform Industries-Plan,Ben
K102208,Gm_Colombia_De,Bogota Dc Sur America Colombia
K102116,Mdk_Gm,Uz  Uzbekistan
K102973,Do Not Use --> Delete !!,City
K103030,한라세라지오,City
K105485,P15871,Pangyo
K102217,Customer_Iza,Walbrzych
K102214,Majab3,Walbrzych
K103031,General Motors Company : Payer,Detroit Michigan
K102732,Gm_Indonesia_De,Pondok Ungu Bekasi West Java Ind
SZ151A1301,Renault Samsung Motor,부산광역시
SZ151A1303,Cho_Customer_01,Frankfurt
K100198,교통은행 서울지점,서울특별시
K105687,Hyundai Mobis Ship-To,서울특별시
K105688,Bmw Ag Wallersdorf_Oem,Wallersdorf
K105569,케이비증권,서울특별시
K102914,Hyundai Motors R&D Center,Hwaseong-Si
K104200,Mcp_ Ford Lincoln Cbg,Dummy
K104168,Sold To 생성 0523_1_2,경기도 성남시
KSSZ201001,"Matlab, Inc.",Asheboro
K103041,Hyundai Motor Manufacturing Alabama,Montgomery
K102933,Cs Sub Vendor 03,City
K104198,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
SZ31003701GS,Hyundai Motor Ulsan 1St Plant,울산광역시
K103015,Mcm_Gm1.2,Ramos Arizpe Coah
SZ32008301GS,Customer_Lee_01,Frankfurt
K101752,Raicam Industrie Srl,Manoppello
SZ331A3501,Standard Chartered Bank,New York
SZ337A1301,[Mcc] Chongqing Plant,Chongqing
SZ331A3201,Bmw_M,Garching-Hochbrueck
SZ337C3601,Hyundai Motor Manufacturing Alabama,Montgomery
SZ31000301,Hyundai Motors R&D Center,Hwaseong-Si
SZ36106601,[Mnc] Ningbo Plant,Ningbo
SZ36121801,Bmw(Krw)_De,Munchen Deutschland
SZ37101601,Hyundai Motor Asan Bill-To(Payer),Asan-Si
4SA11536,Mcp_Lufapak Gmbh_As,Euwied
SZ31006301,삼성증권,서울특별시
SZ36121901,신동성,원주시
SZ361C7201,Kookmin Bank New York,New York
SZ361C8501,Test Supplier,충청북도
SZ361C8601,지엠비코리아,경상남도 창원시
SZ361C9801,[Do Not Use] --> M100-11,Address
K103052,Hyundai Motor Jeonju Plant,Wanju-Gun
K102868,Gmdat_Korea_De,Gunsanjeonbuk
K102994,태성포리텍,익산시
K104236,한국스탠다드차타드은행,서울특별시
K103281,디비에스은행,서울특별시
K104235,Hyundai Motor Asan Plant,Asan-Si
SZ405A1201GS,Sold To 생성 0523_1_1,경기도 성남시
SZ405A1601GS,에스케이증권,서울특별시
SZ431A0104,Kia Kwangju Ckd,광주광역시
SZ432A0301,Reiner Sp. Z O.O.,Miekinia
SZ434A0203,Kia Gwangmyeong Bill-To(Payer),Gwangmyeong-Si
SZ434A3801GS,Test111122223333,서울특별시
SZ441A1001,Mdk_Gmsa,South Africa
SZ433A0106,Mdk_Chrysler_De,Mi Usa
SZ440D2601,Hmma_Mobis(Rdc)_As,Montgomery
SZ441C5203,Test Brazil,Test1333
BH17010180,Chrysler_De,Mi Usa
BH17010280,Gm_Uzbekistan(Krw)_De(Sp),Uzberkistan
BH17011280,독일 고객,City
BH17011380,Zyrafa10,Walbrzych
BH17011180,에스케이증권,서울특별시
BH51100200,Soldto Test,서울특별시
BH29100400,Kasia 100,Walbrzych
BE6009AI00,Gm_Navistar_Oem,Springfield  United States
BH29051200,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
BH40100800,미래에셋생명보험,서울특별시
BH40100900,주식회사조이,시흥시
BH48400900,Mdm_Testsoldto222233333,서울특별시
BH6104AI92,Southern Polymers-Chennai,Chn
BE6009BO00,Sold To 생성 0523_1_1,경기도 성남시
BH29051300,Mmt,인천광역시
BE6008BO00,Gm_Thai(Usd)_De(Sp),Thailand
BH29051301,Hyundai Motor Asan Ckd,Asan-Si
BH6107AH92,Fi 고객,City
BH29051201,Ford_Flat Rock_Oem,Mi  United States
BG69000400,한국산업은행,서울특별시
BH40301000,Mmt,인천광역시
BH52000100,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
BH61303515,Mdc0010,Suzhou
BH66001321,(주)만도 Test_Hdk,경기도 성남시
BH66001324,Sgm_De,Shanghichina
BH68001503,교보증권,서울특별시
BH68001506,Chrysler_De,Mi Usa
BH81001210,안남테크,인천광역시
K302576,미래에셋생명보험,서울특별시
BH66001320,Gm_Dropship Kyb Android Euro_Oem,Shreveport United States
BH68001501,태산Eng,익산시
BH68001505,Gm_Thai(Usd)_De(Sp),Thailand
BH61303915,독일 고객,City
BH61201400,한국증권금융,서울특별시
BH51100800,Bmw Ag Wackersdorf_Oem,Wackersdorf
BH52000108Z1,롯데정보통신 Shipto,서울특별시
BH61103515,Gm_Brazil(Krw)_De(Sp),Sorocaba - Sao Paulo
BH64000800,만도브로제,인천광역시
BH65000700,(주)만도 Test_Hdk,경기도 성남시
BH80000300,Anna041293,Walbrzych
BH17010080,Shipto Test_22,서울특별시
BH80001080,Sbl Moters,서울특별시
BH52000108,Gm_Colombia(Krw)_De,Bogota Dc Sur America Colombia
BH50000202,영광Eng,아산시
BH64100900,X164910,City
BH45003100,보림테크,익산시
BH66200600,미쓰이스미토모은행 서울지점,서울특별시
BH66601310,Volkswagen Poland,Pozna
BH66901000,Test Company234567890,Adress1
BH67100900,Tdscusupd2,Udaipur
BH66100601,Chrysler_Dana Toledo_Oem,Toledo United States
BH52000109,Gosia_1907,Walbrzych
BH66501200,삼성에스 Iacc Tets,경기도 성남시
BH66501301,Jawor_02,Walbrzych
BH45001301,Kia Motor Hwaseong A/S,Hwaseong-Si
BH68100903,Sc_Bpc01,City
BH68501300,미즈호은행,서울특별시
BH68801500,Bank Of America Leasing & Capital-K,Los Angeles
BH69300700,Customer_Patrycja,Walbrzych
BH68100905,Canoo_Torrance_Usa_Oem,Ca  United States
BH68100907,다본오토모티브-원주공장,원주시
BH450013ZZ,Gm_Opel_Europe(Usd)_De,Russelsheim Germany
BH45002700,하이투자증권,부산광역시
BH68200800,Test2,Frankfurt
BH68400400,Sold-To Test Customer,제주특별자치도 제주시
BH68501200,[Mcm] Arteaga Plant,Arteaga
BH68801600,Iryna_1111,Walbrzych
BH69400600,인팩_충주,충주시
BH88301000,Asd,경기도 성남시
BH52000101,Gm_India(Krw)_De(Sp),Pune Maharashtra
BH68801501,[Do Not Use] --> M100-11,Address
BH68801601,Bmw Ag_Oem,Munchen
K103391,Mcp_ Ford Lincoln Cbg,Dummy
BH54100500,P15871,Pangyo
BH70101900,Fasdfasdf,Asfdasdf
BH45000204,Atlantic Integrated Freight Gmbh,Germany
BH46000400,한국투자증권,서울특별시
BH71102400,Halla Holdings,서울특별시
BH71300300,Sub Cont Test1,Abcd
BH71500200,Gm_Adam Opel(Euro)_As,Herne
BH71102600,Pakt Sp. Z O.O.,Walbrzych
BH71202400,Kia Hwaseong Ckd,Hwaseong-Si
BH71001600,Test Company 2,울산광역시
BH72001500,Kia Motor Company,서울특별시
BH74401300,Bmw Ag Wallersdorf_Oem,Wallersdorf
BH450005ZZ,롯데정보통신 Billto,경기 용인시
BH52000103,Sold To 06_22,경기도 성남시
BH80100300,에스엠티코리아리미티드,안성시
BH80300100,다본오토모티브-원주공장,원주시
BH80001180,롯데정보통신 Shipto,서울특별시
BH80001280,Sri Jayalakshmi Industries-Chennai,Chennai
BH45003200,광성브레이크,아산시
BH66100605,Abc Corporate,서울특별시
BH66201000,[Mcp] Walbrzych Plant,Poland
BH81300400,한국수출입은행,서울특별시
BH81300401,중소기업은행 대구혁신도시감정원,대구광역시
BH22100210,Gm_Brazil 2(Usd)_De,So Caetano Do Sul - Sp  Brasil
BH9013AI00,대경엔지니어링_박용수,경기 부천시
BH9013AI01,Cs Sub Vendor,City
BH22100212,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
BH22100612,[Mtc] Tianjin Casting Plant,City
BH30100600,Gm_India(Krw)_De(Sp),Pune Maharashtra
BH30100700,Delta,Swidnica
BH9013Y000,Kia Kwangju Ckd,광주광역시
CNBH70101722,노무라금융투자,서울특별시
CNGL741A2300,Kr,서울특별시
GL350A1100,신한은행 영업부,서울특별시
GL792A1100,Mmt,인천광역시
GZ155A1100,신한은행 영업부,서울특별시
CNGL674A1300,Hyundai Polytech America Inc.,Eufaula
GL784A1800,Xyz Pvt Ltd,Mumbai
CNGZ311A1701,Mmt,인천광역시
CNGM440A4200,태산Eng,익산시
GM441A1800,현대해상화재보험,서울특별시
K302449,[Mbc] Beijing Suspension Plant,Beijing
CNGM920A1400,Mai_Ashley Alteams India Limit,Chn
GM49201101,Hyundai Motor Ulsan 1St Plant,울산광역시
GM924A1300,Msc_Gm,Mexico
GE910A1100,Gm_Uzbekistan(Usd)_De,Uz  Uzbekistan
GU820J1700,하이투자증권,부산광역시
GE614J1101,Sri Jayalakshmi Industries-Chennai,Chennai
GM453A0100,새론오토모티브,천안시
GL720A4500,Ford_Europe_De,Germany
GL725A2500,Cho_Customer_01,Frankfurt
GA95104200,X10054,City
GL714A7600,한국증권금융,서울특별시
GL764A1300,Hyundai Motor Beijing,Beijing
GL788A1500,엔에이치투자증권 잠실금융센터,서울특별시
GL789A2800,한국스탠다드차타드은행 양재동지점,서울특별시
CNGZ311A1702,Ford Lincoln Cbg,Dummy
GL723C8110,Sd Test 02,경기도 성남시
GL788C8110,Chrysler_Fca_Oem,Agua Nueva Saltillo
GM711A3100,Gm_Mexico_De(Sp),Ramos Arizpe
GM786A1400,Test08 Test,Test
GL765A1100,한화손해보험,서울특별시
GL728A3000,Bmw Ag_German_De,Mnchen
GM491A2400,Kia Hwaseong Ckd,Hwaseong-Si
GL741J1100,Mdk_Bmw,Munchen Deutschland
GL79211300,Mcm_Ford1,Saltillo
GM761A2000,대일정공-본사,익산시
GL777A1900,Test Test,Test
GE901A1100,Test Fi Customer Msb,경기도 성남시
GM404A5500,Tdscustupd1,Gandhinagar
GM406A3100,드림텍,아산시
GM460A6300,Mdk_Zf Lemforder_Australia_De,Australia
GE65500500,[Mdk] Iksan Suspension Plant,Iksan
GM460A6080,Customer_Lee,Walbrzych
CNGM47100400,Fi 고객,City
GE931A1100,한라스택폴,청원군
GM410A4100,Gm_Brazil(Krw)_De(Sp),Sorocaba - Sao Paulo
GM423A2200,Gm_Ep_Oem,Ellesmere Port
GM43000500,[Mga] Georgia Brake Plant,Usa
GM96300400,Gm Global Tooling Service Company,Luton
CNGM425A3900,[Do Not Use] --> M310-31,Usa
GE610J1102,케이비증권,서울특별시
GM423B1200,Dor_Ar,Walbrzych
GM470A1401,오토테크,원주시
GM410X2300,Mkdc S.A. De C.V.,Arteaga Coahuila Mexico
GM416X1800,Gm Motors_Mexico_ De,De Mxico
GM423X1700,대화은행 서울지점,서울특별시
GM440X1600,Bmw Ag_German_De,Mnchen
GZ231A2500,Volkswagen Poland Bill-To(Payer),Pozna
GM423X1701,Gmdat_창원_Oem,경상남도 창원시
CNGM760A2100,Gm_India_De,Gujarat
GL740J1100,No Com,Test
GL911A2200,Test Customer Msb,경기도 성남시
GZ373A1400,Gm Russian_Russian_De,Saint-Petersburg Russian Federatio
GZ421A1300,Gm_As_Llc,Mi United States
CNGL671A1200,하나은행,서울특별시
GL689A2000,Test Company 2,울산광역시
GL720C8110,중국건설은행 서울지점,서울특별시
GL771A2700,Gm_India(Krw)_De(Sp),Pune Maharashtra
GL777A2800,신한은행 영업부,서울특별시
GL92112200,Test111122223333,서울특별시
K302649,Hyundai Mobis Bill-To(Payer),서울특별시
CNGM491A1300,Mmt,인천광역시
GM412B1900,Southern Polymers-Chennai,Chn
GM496C2100,Kb오토시스,아산시
GZ331A1701,Mdk_Hmc,104-7
CNGM49300900,Chrysler,California
GM411X2300,안남테크,인천광역시
GM43000801,Kia Kwangju Bill-To(Payer),광주광역시
GE96322300,금융감독원,서울특별시
GM412X2300,Mcm_Gm1,Ramos Arizpe Coah
GM49533200,[Mcm] Mando Mexico,City
GM413B2210,Reiner Sp. Z O.O.,Miekinia
GM415B2000,하이투자증권,부산광역시
GL728A3400,한국산업은행,서울특별시
GM414B2010,엔에이치투자증권 광화문금융센터,서울특별시
GM414A3800,Jawor_02,Walbrzych
GM414X1600,Msy_Opel Gmbh_Germany_De,Germany
GM421B4700,Hyundai Motor Asan Ckd,Asan-Si
GM421X1800,Gme_German_De,Russelsheim Germany
GM477A1300,디비에스은행,서울특별시
GE92310202,Atlantic Integrated Freight Gmbh,Germany
GM422A4000,Cs Sub Vendor24,City
GM427A1700,교보증권,서울특별시
GM422B3400,Precision Pressform Industries-Plan,Ben
GM424B1300,비엔피파리바은행 서울지점,서울특별시
GM422X1800,현대글로비스_아산,123-123
GE65000500,현대차증권,서울특별시
GM421A5800,Igs Schreiner Gmbh,Hamburg
CNGE65200500,에스에이치로드제일차 주식회사,서울특별시
GM440A2200,Sold To 생성 0523_1_1,경기도 성남시
GM431A1300,한성테크,익산시
GM49200800,광덕에이앤티,인천광역시
GM93100300,한국수출입은행,서울특별시
GM950A1100,Chrysler_Warren_Oem,Warren United States
CNGE92010500,Gm_Holden_De,Australia
GM432A1300,병화,천안시
GM43300300,Customer_Shaun,Walbrzych
CNGM44100500,Hyundai Glovis Ship-To,서울특별시
GM425A2400,Gm_Ellesmere Port_Oem,Chesire
GM45300800,중국건설은행 서울지점,서울특별시
GM453S1100,Mga_Chrysler,Warren United States
GE5000730C,신한은행 Gs타워대기업금융센터,서울특별시
GE57407301,Hyundai Mobis,울산광역시
GL334A1200,江苏瑞尔隆鼎实业有限公司,Beijing
GM480A9700,Mdk_Bmw,Munchen Deutschland
GP90112000,신한정밀공업대전공장,대전광역시
GM412B2211,Asd,경기도 성남시
GM472A1700,보림테크,익산시
GM495A1500,Msc_Gm,Mexico
GM963A2000,Gm_Modatek_Oem,Milton Canada
GM473A1100,비엔피파리바은행 서울지점,서울특별시
GM49200700,Shipto Test_22,서울특별시
GM92400800,Hyundae Polytech Mexico S. De R.L.,Www
GU820A2700,Youngshin Automotive India Private,Chennai
GU837A1400,Mkdc S.A. De C.V.,City
GU821A1800,한국스탠다드차타드은행,서울특별시
GU845A2800,프라이맥스,원주시
GU921A1200,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
GU820C5190,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
CNGU845A3200,우영유압,인천광역시
GU825C1600,[Mcp] Mando Poland,Walbrzych
GU85133800,한도,천안시
GU831A4000,[Mcp] Walbrzych Plant,Poland
GU830A4000,중국은행,서울특별시
GU85133400,성용하이테크,김포시
GU831A6400,Hundai,Banglore
GU85290900,Gm Motor_Usa_De,Mi Usa
CNGU845A2700,한국씨티은행,서울특별시
GU835A1700,Mck_주식회사 일신캐스팅,City
GU830A8700,삼성에스디에스 물류법인(Im),경기도 성남시
GU92426100,Aditya Auto Products And Engg India,Chennai
GU935A1100,ㅣBillto,서울특별시
GU830C3900,Test08 Test,Test
GU85291000,Halla Holdings,서울특별시
2BB3258,화동뉴텍,원주시
BB36009700,센트랄,경상남도 창원시
BB41001800,한화생명보험,서울특별시
BB42101200,江苏瑞尔隆鼎实业有限公司,Beijing
BB42301200,Dongsung Poland Sp.Z.O.O,Zarow
BB42701200,[Mcp] Mando Poland,Walbrzych
BB44014500,[Mcc] Chongqing Plant,Chongqing
BB46101700,Alabama Plating Technology Llc,Lanett
BB4780030098,Kb오토시스,아산시
BB48902100,Gm_Uzbekistan(Krw)_De(Sp),Uzberkistan
BB49101100,Hmma_Al_Oem,Montgomery
BB49402800,한국산업은행,서울특별시
BB50200700,Bmw Ag_Oem,Munchen
BB55006300,Cs Assy Vendor,City
BB58000900,Hyundai Mobis,울산광역시
BB58001000,새론오토모티브,천안시
BB61501300,엔에이치투자증권 광화문금융센터,서울특별시
BB69200100,Gm_Navistar_Oem,Springfield
2BB2873,Mca_Gm,Silao
4BM5785,한국산업은행 압구정지점,서울특별시
BB38002100,Cs Sub Vendor24,City
BB41003100,Ford_Mex_Oem,City
BB44023400,Hyundai Motor Company,서울특별시
BB46701800,Hyundai Motor Asan Plant,Asan-Si
BB49101300,Lufapak Gmbh_As,Euwied
BB49403700,Boge Elastmetall Gmbh,Damme
BB55017300,Ford_Master_As,Illionis
BB61502000,ㄴShipto,서울특별시
CNBB46101100,Boge Elastmetall Gmbh,Damme
CNBB48900300,Bmw Ag Wallersdorf_Oem,Wallersdorf
K302298,드림텍,아산시
K302603,Gm_Navistar_Oem,Springfield  United States
BB360A1100,Kookmin Bank New York,New York
BB41003900,Test111122223333,서울특별시
BB440A1400,Sold-To Test Customer,제주특별자치도 제주시
BB46105000,Gm_Cami Autrans_Oem,Ingersol Canada
BB550A1200,Mga_Hmma,Test
BB36401200,Ford Lincoln Cbg,Dummy
BB38001700,Kasia 100,Walbrzych
BB363A1300,삼성화재해상보험,서울특별시
CNBB36102700,Customer_Lee_01,Frankfurt
BB36300100,Fdfd,경기도 성남시
K105796,삼성에스 Iacc Tets,경기도 성남시
BB46202004,Gm_As_,Memphis Tn
BB46316300,Tdscustupd1,Gandhinagar
BB49200700,Gm_Modatek_Oem,Ontario
4BB5821,Tata Motors Passenger Vehicles Limi,Chikhali Pune
BB46202504,Mdm_Testpayer,Address
BB46328900,Kia Gwangmyeong Oem,Gwangmyeong-Si
BB48500300,광성브레이크,아산시
BB46202506,[Mca] Mando America,Usa
BB463A1400,한국수출입은행,서울특별시
BB48500600,Test_Customer,Pangyo
BB45101800,Chrysler_Warren_Oem,Warren United States
BB45200100,우리은행 롯데월드타워금융센터,서울특별시
BB45300100,Sold-To Test Customer,제주특별자치도 제주시
BB45400100,대구은행,대구광역시
K104533,Gm Korea_As,인천광역시
K105029,Hyundai Motor Company,울산광역시
K104567,Bmw De,Krauthausen
K105799,Woori Bank New York,New York
K302510,Mcm_Gmtest,Ramos Arizpe Coah
BB47202400,Gmk_Korea_De,인천광역시
BB47300400,Hyundai Motor Ulsan Bill-To(Payer),서울특별시
BB47700500,영완,시흥시
BB47900700,네이버,강원 춘천시
BB48202400,Msc_Gm,Mexico
BB48300300,Precision Pressform Industries-Plan,Ben
BB48500700,한국산업은행 압구정지점,서울특별시
BB46505301,중국건설은행 서울지점,서울특별시
BB47212500,하나은행 판교지점,경기도 성남시
BB47300900,Mcp_Bmw,Garching-Hochbrueck
BB47900400RD,동화지업사,강원도 원주시
BB48200600Z1,Standard Chartered Bank,New York
BB61600400,Chrysler_Toledo_Oem,Toledo United States
BB46513500,Customer_Lee,Walbrzych
CNBB47201800,[Mcp] Mando Poland,Walbrzych
K104638,[Msc] Suzhou Steering Plant,Suzhou
BB47202400D34,Gm_Saic Usa,Birmingham Mi
BB48703700,Taeyang Metal India Pvt Ltd-Chennai,Ahmed Nagar
BB68000100,Kasia_Jaworska1,Walbrzych
BB48705900,Kia Kwangju Oem,광주광역시
BB55103600,Kookmin Bank New York,New York
BB55503900,동성정밀엘엑스,원주시
BB55107700,Ford_Think_De,Detroit Mi  Usa
CNBB55400900,Gm_Cami Autrans_Oem,Ingersol Canada
CNBB55501600,Gm_Thai(Usd)_De(Sp),Thailand
K104681,ㅣBillto,서울특별시
K105819,병화,천안시
K104682,우리은행 롯데월드타워금융센터,서울특별시
K105820,Hmma_Al_Oem,Montgomery
K804862,태양금속공업,안산시
BC1202261055,Abc Corporate,서울특별시
BC14032800,[Mga] Georgia Brake Plant,Usa
BC14032900,General Motors Company : Payer,Detroit Michigan
BC14041000,Gm_Korea_Oem,인천광역시
BC1205630055,Test Company 2,울산광역시
BC14056300,Bmw Ag Wallersdorf_Oem,Wallersdorf
BC14132900,Cs Assy Vendor,City
BC1215630055,Bolim1,인천광역시
BC20200400,중소기업은행 강남기업금융지점,서울특별시
BC20300200,코오롱모터스,서울특별시
BC27203500,Bmw_M,Garching-Hochbrueck
BC27203400,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
BC27100600,드림텍,아산시
BC31401900,Ford Espania Sl (Usd)_Oem,Valencia Hiszpania Spain
BC27102000,한화손해보험,서울특별시
BC31500100,Mcm_Ford1,Saltillo
BC30302700,하나은행,서울특별시
BC41041000,Mcp_Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
BC47028000,Mmt,인천광역시
BC50077000,Mcp_Customer_Shaun_002,Wabrzych
BC54077000,Foreign Customer,Bloomington
BC56002500,대성전기공업,안산시
BC50078100,Customer_Dorota,Walbrzych
BC54078100,Gm_Cis_De,Moscow Russia
BC56000500,동성정밀엘엑스,원주시
BC50178100,삼성생명보험,서울특별시
BC40290200,Tdscusupd2,Udaipur
BC43101300,Hyundai Motor Company,서울특별시
BC44000500Z1,Mdk_Bhmc,Suzhou New District
K302352,Msy_Opel Gmbh_Germany_De,Germany
BC43189900,Sbl Moters,서울특별시
BC44089900,Gm_Thailand_De,Thailand
BC40390200,Gm Motors_Mexico_ De,De Mxico
BC4102210055,Chrysler_Warren_Oem,Poland
BC4102920055,한라스택폴,청원군
BC41229200,General Motors Company : Ship To,Detroit Michigan
BC4102930055,Mce_Gm,Ellesmere Port
BC41229300,영완,시흥시
BC41241000,중국건설은행 서울지점,서울특별시
BC41256300,Ford Werke Gmbh (Usd)_As,Koeln
BC44200700Z1,원광산업(주),원주시
K302537,코우산업,평택시
BC44102100,광성정밀,아산시
BC51079300,Reiner Sp. Z O.O.,Miekinia
BC52456300,Tesla,Shanghai
BC52437900,Ford Lio Ho Motor Cp Ltd,Taoyuan City Taiwan Roc
BC51603400,Sold To 생성 0523_1_1,경기도 성남시
BC52438000,Gm_Brazil_De(Sp),Sorocaba Sao Paulo
BC52437000,Kia Motor Bill-To(Payer),서울특별시
BC51082100,Pakt Sp. Z O.O.,Walbrzych
BC516A2700,Chrysler_Mopar_As,City
BC51179300,Chrysler_Fca_Oem,Agua Nueva Saltillo
BC51177000,[Mail] Chennai Plant#1,Pillaipakkam Post Sriperumbudur Ta
BC52311500,Gm_Modatek_Oem,Ontario
BC51182100,[Mca] Alabama Brake Plant,Usa
BC52004500,아셈텍,화성시
BC55078900,Gm_Trw Saginaw_Oem,Saginaw
BC55256300,Bmw Ag Wallersdorf_As,Wallesdorf
BC553A2000,Mdm_Testsubcontracting,충남 공주시
K302607,Mbc_Bhmc/Dyk_De,Beijing
BC55070900,Bank Of America Leasing & Capital-K,Los Angeles
BC55241200,중소기업은행 강남기업금융지점,서울특별시
BC55077000,Gm_Cami Can_Oem,Canada
BC55082100,Gm_Korea_Oem,인천광역시
BC55228200,Gm_India(Krw)_De,Maharashtra India
BC55237000,Gm Motors_Mexico_ De,De Mxico
K804741,원광산업(주),원주시
BM12203700,신영증권,서울특별시
BM12703100,Hyundai Motor Ulsan 1St Plant,울산광역시
BM15017600,하이투자증권 법인영업부지점,서울특별시
BM34044400,Ford Werke Gmbh (Usd)_As,Koeln
BM38002000,Dongsung Poland Sp.Z.O.O,Zarow
BM45001200,Sold-To Test Customer,제주특별자치도 제주시
CNBM11005200RC,Gm_India(Krw)_De,Maharashtra India
BM12018400,엔에이치투자증권 잠실금융센터,서울특별시
BM12202900,원광산업(주),원주시
BM12702900,Gm_Bupyeong-Assembly 2,인천광역시
BM15017900,Mcp_Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
BM340A1300,Test Test,Test
BM42000400,Reiner Sp. Z O.O.,Miekinia
CNBM11002700,대경엔지니어링_박용수,경기 부천시
BM12115800,Hmma_Al_Oem,Montgomery
BM12505300,Test Test,Test
BM12807900,乐采商贸（广州）有限公司北京分公司,City
BM13300500,[Mcm] Arteaga Plant,Arteaga
BM12116300,Hyundai Motor Jeonju Ckd,Wanju-Gun
BM13001200,Gm_Brazil_De(Sp),Sorocaba Sao Paulo
BM15117800,[Mcp] Walbrzych Plant,Poland
BM15607900,Gm_Thai(Usd)_De(Sp),Thailand
BM15118200,아셈텍,화성시
BM16000700,디에스피이엔티,아산시
BM15607100,Hyundai Mobis,서울특별시
BM34133500,Kia Gwangmyeong Ckd,Gwangmyeong-Si
BM34504200,Gm_Brazil(Krw)_De(Sp),Sorocaba - Sao Paulo
BM346A1500,Test111122223333,서울특별시
BM341A1480,국민은행,서울특별시
BM34605700,Basf Polyurethanes Gmbh(Im),Lemfoerde Germany
BM34400200,Southern Polymers-Chennai,Chn
BM341A1400,Tdscusupd3,Gandhinagar
BM34500700,대성전기공업,안산시
BA38800200,Ccangtong,서울특별시
K104536,노무라금융투자,서울특별시
K105034,Chrysler_Fca_Oem,Agua Nueva Saltillo
CNBB48700300,威马新能源汽车采购（上海）有限公司,Shanghai
CNBM11103000,Mdc0010,Suzhou
CNSH31103401,Gm Thailand_Thailand_De,Apluakdaeng  Rayong Thailand
CNSH36100101,엔에이치투자증권 광화문금융센터,서울특별시
CNSZ20000311,한국산업은행,서울특별시
CNSZ220C3701,한화생명보험,서울특별시
CNSH312A1201,태산Eng,익산시
CNSZ220C2301,Gm_Vm Arlington Asm,Arlington Tx
K104883,Mcm_Gm1,Saltillo
CNSH32202501,General Motors Company : Payer,Detroit Michigan
CNSH32600101,Gm_Thailand_De,Thailand
CNSH3220110303,Msc_Gm,Mexico
K105629,[Mdk] Korea Hq,Address
K104713,Hmma_Al_Oem,Montgomery
CNSH32300501,Gm_Lordstown_Oem,Detroit Mi
CNSZ220C3001,Gm_Oshawa_De,Ontario
CNSU36200104,Volkswagen Poland Bill-To(Payer),Pozna
K104547,삼성화재해상보험,서울특별시
K105611,Ania10,Walbrzych
CNSZ20001801,Sold To 06_22_0,경기도 성남시
CNSH41200101,Gme_German_De,Russelsheim Germany
K104753,"Hankuk Rotec Co., Ltd.",부산광역시
CNSH32201103,Customer_Lee,Walbrzych
CNSH32300301,Citibank Fsb,New Castle
CNSH47200101,Gm_Thailand_De,Thailand
CNSH47300101,엔에이치투자증권,서울특별시
CNSK23300109,디에스피이엔티,아산시
SZ12102702,Mmt,인천광역시
CNSZ32001401,[Msc] Suzhou Brake Plant,Suzhou
SK233C0201,Milan_1907,Walbrzych
SZ12108504,Gm_Indonesia_De(Sp),Indonesia
SZ33200701,Chrysler_Dana Va Chesapeake_Oem,Detroit United States
K105290,Zyrafa10,Walbrzych
CNST37300101,Mbc_Bhmc/Dyk_De,Beijing
SK37200201,Gm_Navistar_Oem,Springfield
K104801,Chrysler_Fca Ii_Oem,Mex  Mx
CNSK416A1701,Alabama Plating Technology Llc,Lanett
CNSK417A1701,Gm Global Tooling Service Company,Luton
K104827,Cs Sub Vendor24,City
K104944,삼성에스디에스 물류법인(Im),경기도 성남시
K104945,Mcm_Gm1,Ramos Arizpe Coah
CNST47300101,인하테크,원주시
CNSH47300301,Hyundai Motor Ulsan 3Rd Plant,울산광역시
CNSU37200601,[Msc] Suzhou Steering Plant,Suzhou
CNSU372A2001,롯데정보통신 Billto,경기 용인시
CNSU373A1101,신동성,원주시
K105437,한화생명보험,서울특별시
4SA11139,중소기업은행,서울특별시
K104964,[Mca] Alabama Brake Plant,Usa
CNSZ368A1501,[Msc] Suzhou Brake Plant,Suzhou
SZ310A2601,광성브레이크,아산시
K104722,Basf Polyurethanes Gmbh(Im),Lemfoerde Germany
CNSZ431C3401,하나은행 중소기업기술정보진흥원,세종특별자치시
CNSZ432C3401,Soldto Test_22,제주특별자치도 제주시
CNSZ434C3401,Mexico Taesan S De Rl De Cv,Arteaga Coahuila Mexico 25350
CNSZ433C3401,Gm_Modatek_Oem,Milton Canada
CNSZ441A0201,Msc_Gm,Mexico
SZ440C5901,Mdm_Testfi-Customer,Address
SH311C0301,Gm_Brazil_De(Sp),Sorocaba Sao Paulo
SZ200C0137,Mcp_Boge Elastmetall Gmbh,Damme
SH222A140103,Test Company234567890,Adress1
4A13485,Ford Lincoln Cbg,Dummy
